id,address,city,country,dateAdded,dateUpdated,floorSizeValue,latitude,longitude,lotSizeValue,lotSizeUnit,mlsNumber,neighborhoods,numBathroom,numBedroom,numFloor,parking,postalCode,propertyType,yearBuilt,price,pricePerSquareFoot
AXDUGAcDe6LJWXYXc1q1,1055 Zophi St Unit A,Nashville,US,2020-03-13T13:31:49Z,2022-04-30T15:54:36Z,638,36.205107,-86.741021,6098,sq ft,2350137,Tennessee,,2,1,,37216,Single Family Dwelling,1950,359500,400
AW_5qxNG0x_BgD4e2_BK,2317 Pennington Ave,Nashville,US,2020-01-31T03:35:35Z,2022-04-30T15:49:29Z,2061,36.20064,-86.72979,3000,sq ft,2366893,"Inglewood,CCSI South Inglewood,Tennessee,Nashville",2.5,3,2,"Open Parking Parking Spaces: 2,Parking Features: Concrete,Garage false,Attached Garage: false,Parking Spaces: 2,Carport: false,Parking Total: 2",37216,Condo,2020,414900,216
2ybOPnUBA7mjcpg9OxcN,110 7th Ave N,Nashville,US,2020-10-19T03:01:44Z,2022-04-30T15:46:00Z,9246,36.16003,-86.78095,0.38999,acs,,,,,,PARKING SPACES: 28,37203,Commercial,1923,20804,2.25
AXCfxouC2qQdVO6NpfHb,129 43rd Ave N,Nashville,US,2020-03-03T09:42:34Z,2022-04-30T15:45:45Z,2855,36.139888,-86.838643,8712,sq ft,2274043,"Tennessee,Nashville,Sylvan Park",3,4,2,"Open Parking Parking Spaces: 4,Open Parking Spaces: 4,Parking Spaces: 4,Parking Features: Alley Access,Garage false,Attached Garage: false,Carport: false,Parking Total: 4",37209,Condo,1945,649900,227
AXEElvfPLZfAPClVV0JG,922 Thomas Ave Unit B,Nashville,US,2020-03-22T23:32:14Z,2022-04-30T15:43:17Z,,36.205231,-86.741854,10019,sq ft,,Tennessee,,,,,37216,Other,,38500,
df5_d3QBA7mjcpg9pgyo,2300 Old Matthews Rd,Nashville,US,2020-09-10T10:11:28Z,2022-04-30T15:41:34Z,,36.21409,-86.79708,6.12,acs,,Nashville,,,,,37207,Other,,1061369,
8A9bKXgB5p3ULnC0_ywP,508 36th Ave N Unit B,Nashville,US,2021-03-05T21:14:29Z,2022-04-30T15:40:48Z,2373,36.154914,-86.827473,,,2352652,Charlotte Pike,3.5,3,,"Parking Type: Attached Frame Garage,Garage/Parking Sq. Ft: 449,2 spaces",37209,Condo,2021,4450,22.5
hS_Hl3kB5p3ULnC0LViK,2929 Selena Dr Unit K140,Nashville,US,2021-05-23T05:51:23Z,2022-04-30T15:40:18Z,720,36.107713,-86.732421,435,sq ft,2254779,,1,1,1,"Parking Total: 0,Garage false,Attached Garage: false,Carport: false",37211,Condo,1989,150000,208.33
AWTUti0zAXxH_fqQAyZ1,859 Brook Hollow Rd,Nashville,US,2018-07-26T03:46:56Z,2022-04-30T15:33:26Z,1884,36.13526,-86.88533,0.66,acs,1625833,West Nashville,2,3,1,"Covered Parking Spaces: 1,Parking Total: 1,Basement Garage Description,Garage Parking Spaces: 1,Blacktop Driveway Type,Garage true,Garage:,Attached Garage: true,Carport: false",37205,Single Family Dwelling,1955,356000,188.96
XTxTHHwByN4LkFz_9phZ,790 1st Ave N 790,Nashville,US,2021-09-25T09:40:36Z,2022-04-30T15:24:26Z,,36.172923,-86.780454,435,sq ft,2293321,,,,1,"Open Parking Spaces: 2,Parking Total: 6,Parking Features: Unassigned",37201,Condo,1986,400000,
